timestamp,test-class,test-method,time,description,result
2021-06-08 21:53:44.246,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8053,"[1] recordIndex=0, title=Tarea 20: tarea privada no finalizada, initialMoment=2022/06/01 11:02, finalMoment=2022/06/03 21:37, workload=13.50, description=Esto es un ejemplo de una tarea privada no finalizada",OK
2021-06-08 21:53:52.57,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8090,"[2] recordIndex=1, title=Tarea 21: tarea privada no finalizada, initialMoment=2022/05/10 11:00, finalMoment=2022/05/11 11:00, workload=2.00, description=Esto es un ejemplo de una tarea privada no finalizada",OK
2021-06-08 21:54:00.821,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8029,"[3] recordIndex=2, title=Tarea 22: tarea privada no finalizada, initialMoment=2021/12/01 09:00, finalMoment=2022/01/01 21:00, workload=13.50, description=Esto es un ejemplo de una tarea privada no finalizada",OK
2021-06-08 21:54:09.167,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8127,"[4] recordIndex=3, title=Tarea 23: tarea privada no finalizada, initialMoment=2022/01/01 11:00, finalMoment=2022/01/02 11:30, workload=20.00, description=Esto es un ejemplo de una tarea privada no finalizada",OK
2021-06-08 21:54:17.367,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7973,"[5] recordIndex=4, title=Tarea 24: tarea privada no finalizada, initialMoment=2023/05/01 20:00, finalMoment=2023/10/01 20:00, workload=5.00, description=Esto es un ejemplo de una tarea privada no finalizada",OK
2021-06-08 21:54:22.891,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5239,"[1] recordIndex=0, title=Tarea 20: tarea privada finalizada, initialMoment=2022/06/01 11:02, finalMoment=2022/06/03 21:37, workload=null, description=Fallo por no haber workload",OK
2021-06-08 21:54:28.362,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5255,"[2] recordIndex=0, title=Tarea 21: tarea privada finalizada, initialMoment=2021/01/01 11:00, finalMoment=2021/02/01 11:00, workload=2.50, description=Fallo por crearla en fecha pasada",OK
2021-06-08 21:54:33.77,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5182,"[3] recordIndex=0, title=Tarea 22: tarea privada finalizada, initialMoment=2022/01/02 09:00, finalMoment=2022/01/01 21:00, workload=13.50, description=Fallo por finalMoment antes que InitialMoment",OK
2021-06-08 21:54:39.189,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5203,"[4] recordIndex=0, title=Tarea 23: tarea privada finalizada, initialMoment=2022/01/01 11:00, finalMoment=2022/01/01 12:00, workload=2.00, description=Workload mayor que tiempo entre finalMoment e InitialMoment",OK
2021-06-08 21:54:44.677,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5258,"[5] recordIndex=0, title=Tarea 24: tarea privada finalizada, initialMoment=2022/06/01 11:02, finalMoment=2022/06/03 21:37, workload=-12, description=Fallo por workload negativo",OK
2021-06-08 21:54:50.132,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5211,"[6] recordIndex=0, title=Tarea 25: tarea privada finalizada, initialMoment=2022/06/01 11:02, finalMoment=2022/06/03 21:37, workload=aaaa, description=Fallo por mal formato del workload",OK
2021-06-08 21:54:55.6,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5252,"[7] recordIndex=0, title=Tarea 26: tarea privada finalizada, initialMoment=2022/06/01 11:02, finalMoment=aaaa, workload=12, description=Fallo por mal formato del Final moment",OK
2021-06-08 21:55:01.12,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5289,"[8] recordIndex=0, title=Tarea 27: tarea privada finalizada, initialMoment=aaaa, finalMoment=2022/06/03 21:37, workload=12, description=Fallo por mal formato del Initial moment",OK
2021-06-08 21:55:06.537,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5199,"[9] recordIndex=0, title=null, initialMoment=2022/06/01 11:02, finalMoment=2022/06/03 21:37, workload=12, description=Fallo por no haber titulo",OK
2021-06-08 21:55:12.046,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5266,"[10] recordIndex=0, title=Tarea 29: tarea privada finalizadaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, initialMoment=2022/06/01 11:02, finalMoment=2022/06/03 21:37, workload=12, description=Fallo por titulo demasiado largo",OK
2021-06-08 21:55:17.541,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5271,"[11] recordIndex=0, title=Tarea 30: tarea privada finalizada, initialMoment=2022/06/01 11:02, finalMoment=2022/06/03 21:37, workload=12, description=null",OK
2021-06-08 21:55:23.116,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5334,"[12] recordIndex=0, title=Tarea 31: tarea privada finalizada, initialMoment=null, finalMoment=2022/06/03 21:37, workload=12, description=Fallo por no haber Initial moment",OK
2021-06-08 21:55:28.569,acme.testing.manager.task.ManagerTaskCreateTest,createNegativo,5233,"[13] recordIndex=0, title=Tarea 32: tarea privada finalizada, initialMoment=2022/06/01 11:02, finalMoment=null, workload=12, description=Fallo por no haber Final moment",OK
