timestamp,test-class,test-method,time,description,result
2021-06-08 22:29:54.864,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,7045,"[1] recordIndex=2, title=Tarea 3: tarea pública modificada, initialMoment=2021/06/20 11:02, finalMoment=2021/07/22 21:37, workload=15.00, description=Esto es un ejemplo de una tarea pública modificada",OK
2021-06-08 22:30:02.017,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,6935,"[2] recordIndex=3, title=Tarea 5: tarea privada no finalizada modificada, initialMoment=2023/07/20 11:02, finalMoment=2023/07/22 21:37, workload=12.10, description=Esto es un ejemplo de una tarea privada no finalizada modificada",OK
2021-06-08 22:30:09.204,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,6970,"[3] recordIndex=4, title=Tarea 9: tarea pública no finalizada modificada, initialMoment=2023/07/20 10:02, finalMoment=2023/07/22 21:37, workload=24.70, description=Esto es un ejemplo de una tarea pública no finalizada modificada",OK
2021-06-08 22:30:16.387,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,6958,"[4] recordIndex=5, title=Tarea 11: tarea privada no finalizada modificada, initialMoment=2023/07/20 11:02, finalMoment=2023/07/22 23:37, workload=13.40, description=Esto es un ejemplo de una tarea privada no finalizada modificada",OK
2021-06-08 22:30:22.658,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6034,"[1] recordIndex=0, title=Tarea 3: tarea pública finalizada modificada, initialMoment=2021/02/20 11:02, finalMoment=null, workload=12, description=Esto es un ejemplo de una tarea pública finalizada modificada",OK
2021-06-08 22:30:28.916,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6039,"[2] recordIndex=1, title=null, initialMoment=2021/02/18 12:02, finalMoment=2022/02/24 20:37, workload=100.40, description=Esto es un ejemplo de una tarea privada no finalizada modificada",OK
2021-06-08 22:30:35.201,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6051,"[3] recordIndex=2, title=Tarea 3: tarea pública finalizada modificada, initialMoment=2021/02/20 11:02, finalMoment=2021/03/22 21:37, workload=asdf, description=Esto es un ejemplo de una tarea pública finalizada modificada",OK
2021-06-08 22:30:41.517,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6097,"[4] recordIndex=3, title=Tarea 5: tarea privada no finalizada modificada, initialMoment=2023/03/20 11:02, finalMoment=2023/03/22 21:37, workload=72, description=Esto es un ejemplo de una tarea privada no finalizada modificada",OK
2021-06-08 22:30:47.775,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6039,"[5] recordIndex=4, title=Tarea 9: tarea pública no finalizada modificada, initialMoment=null, finalMoment=2023/06/22 21:37, workload=24.70, description=Esto es un ejemplo de una tarea pública no finalizada modificada",OK
2021-06-08 22:30:54.093,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6112,"[6] recordIndex=5, title=Tarea 3: tarea pública finalizada modificadaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, initialMoment=2023/07/20 11:02, finalMoment=2021/07/22 23:37, workload=13.40, description=Esto es un ejemplo de una tarea privada no finalizada modificada",OK
2021-06-08 22:31:00.343,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6032,"[7] recordIndex=6, title=Tarea 3: tarea pública finalizada modificada, initialMoment=2021/02/20 11:02, finalMoment=aaa, workload=12, description=Esto es un ejemplo de una tarea pública finalizada modificada",OK
2021-06-08 22:31:06.574,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6013,"[8] recordIndex=7, title=Tarea 3: tarea pública finalizada modificada, initialMoment=aaaa, finalMoment=2021/03/22 21:37, workload=-12, description=Esto es un ejemplo de una tarea pública finalizada modificada",OK
