timestamp,simple-path,time
2021-06-08 22:19:56.134,/master/welcome,3405
2021-06-08 22:19:56.419,/master/welcome,215
2021-06-08 22:19:57.722,/master/sign-in,1149
2021-06-08 22:19:58.962,/master/welcome,587
2021-06-08 22:20:11.973,/master/welcome,185
2021-06-08 22:20:12.672,/master/welcome,585
2021-06-08 22:20:13.038,/master/welcome,208
2021-06-08 22:20:13.263,/master/welcome,170
2021-06-08 22:20:13.977,/master/sign-in,592
2021-06-08 22:20:15.267,/master/welcome,589
2021-06-08 22:20:16.079,/manager/task/list-mine,594
2021-06-08 22:20:17.842,/manager/task/show,579
2021-06-08 22:20:18.342,/master/welcome,174
2021-06-08 22:20:19.055,/master/welcome,591
2021-06-08 22:20:19.324,/master/welcome,174
2021-06-08 22:20:19.527,/master/welcome,179
2021-06-08 22:20:20.226,/master/sign-in,589
2021-06-08 22:20:21.522,/master/welcome,595
2021-06-08 22:20:22.328,/manager/task/list-mine,593
2021-06-08 22:20:22.776,/master/welcome,170
2021-06-08 22:20:22.98,/master/welcome,172
2021-06-08 22:20:23.694,/master/sign-in,608
2021-06-08 22:20:24.974,/master/welcome,611
2021-06-08 22:20:25.815,/manager/task/list-mine,591
2021-06-08 22:20:26.269,/master/welcome,172
2021-06-08 22:20:26.454,/master/welcome,155
2021-06-08 22:20:27.154,/master/sign-in,589
2021-06-08 22:20:28.418,/master/welcome,594
2021-06-08 22:20:29.258,/manager/task/list-mine,624
2021-06-08 22:20:29.681,/master/welcome,158
2021-06-08 22:20:29.885,/master/welcome,172
2021-06-08 22:20:30.579,/master/sign-in,583
2021-06-08 22:20:31.887,/master/welcome,588
2021-06-08 22:20:32.697,/manager/task/list-mine,592
2021-06-08 22:20:33.161,/master/welcome,169
2021-06-08 22:20:33.359,/master/welcome,168
2021-06-08 22:20:34.092,/master/sign-in,582
2021-06-08 22:20:35.349,/master/welcome,587
2021-06-08 22:20:36.164,/manager/task/list-mine,597
